id,name,adress,price,lat,lon,food_type,gmaps_link,takeaway,review,district,vegan_only,chez_jaz,taff_jaz,bakery
0,Cedars,"101 Av. Jean Jaurès, 75019 Paris",2,48.8905658,2.3775428,"[""LEBANESE""]","https://www.google.com/maps/place/Cedars/@48.8856276,2.380461,15z/data=!4m2!3m1!1s0x0:0x3776b9bc5decd9de?sa=X&ved=2ahUKEwjutqm2s-eDAxV1V2wGHWxsCXUQ_BJ6BAgLEAA",True,4.4,19,False,True,False,False
1,Itadakizen,"12 Rue Pradier, 75019 Paris",2,48.885521,2.3609946,"[""ASIATIQUE""]","https://www.google.com/maps/place/Itadakizen+Paris/@48.8752844,2.3817594,15z/data=!4m2!3m1!1s0x0:0x1e24f1e24681ed19?sa=X&ved=2ahUKEwjUxMj_3eiDAxVj9zgGHQ4dAjcQ_BJ6BAgKEAA",True,4.8,19,False,True,False,False
2,Green Thai,"136 Rue de Crimée, 75019 Paris",2,48.8838628,2.3665793,"[""ASIATIQUE""]","https://www.google.com/maps/place/Green+tha%C3%AF/@48.886727,2.3814764,15z/data=!4m6!3m5!1s0x47e66d01e23a7ecb:0x100d257c2bbc399!8m2!3d48.886727!4d2.3814764!16s%2Fg%2F11k0nny89g?entry=ttu",True,4.4,19,False,True,False,False
3,Cantine Primeur,"4 Rue Lemon, 75020 Paris",2,48.8715373,2.3607483,"[""ASIATIQUE"", ""BURGER""]","https://www.google.com/maps/place/Cantine+Primeur/@48.8715373,2.3782578,15z/data=!4m2!3m1!1s0x0:0x4327c164618c3227?sa=X&ved=2ahUKEwiAyqy24eiDAxV5UGcHHZYMBmAQ_BJ6BAgKEAA",True,4.7,20,True,False,False,False
4,Les bols d'Antoine,"10 Rue des Envierges, 75020 Paris",3,48.871622,2.3626366,"[""ASIATIQUE"", ""BURGER""]","https://www.google.com/maps/place/Les+bols+d'Antoine/@48.8715862,2.3862436,15z/data=!4m2!3m1!1s0x0:0x597d0e148e8eaff7?sa=X&ved=2ahUKEwjnrYfz4uiDAxU3a2wGHfDXCTsQ_BJ6BAgLEAA",True,4.2,20,True,False,False,False
5,Bioburger Rosa Parks,"17/19 All. Rose Dieng-Kuntz, 75019 Paris",2,48.8966185,2.3551732,"[""BURGER""]","https://www.google.com/maps/place/Bioburger+Rosa+Parks/@48.8966185,2.3726827,15z/data=!4m2!3m1!1s0x0:0xea08d7c0cc749d45?sa=X&ved=2ahUKEwiSg5Sy5OiDAxVa3jgGHQCtDzMQ_BJ6BAgLEAA",True,4.7,19,False,True,False,False
6,Jah Jah by le Tricycle,"11 R. des Petites Écuries, 75010 Paris",2,48.8732119,2.3529642,"[]","https://www.google.com/maps/place/Jah+Jah+By+Le+Tricycle/@48.8731477,2.3530343,15z/data=!4m2!3m1!1s0x0:0x7dde43ef0a0f42c0?sa=X&ved=2ahUKEwiOiq7M5-iDAxU24TgGHfMCCKoQ_BJ6BAgKEAA",True,4.6,10,True,False,False,False
7,Kitchen,"74 Rue des Gravilliers, 75003 Paris",2,48.8643806,2.3541014,"[""SALADE""]","https://www.google.com/maps/place/Kitchen/@48.8645351,2.3545852,15z/data=!4m6!3m5!1s0x47e66e1aeebc262f:0x8e147e08cb61494d!8m2!3d48.8645351!4d2.3545852!16s%2Fg%2F1tf3ypfy?entry=ttu",True,4.5,3,False,False,False,False
8,IMA Cantine,"39 Quai de Valmy, 75010 Paris, France",2,48.8692821,2.3497554,"[""SALADE""]","https://www.google.com/maps/place/IMA+CANTINE/@48.8692821,2.3497554,13.93z/data=!4m6!3m5!1s0x47e66e09bbfe1a97:0x950a6afdb544f69!8m2!3d48.8692976!4d2.36628!16s%2Fg%2F11c1qlqnv_?entry=ttu",True,4.4,10,False,False,False,False
9,Hank Burger Cadet,"8 Rue Marguerite de Rochechouart, 75009 Paris",2,48.876935,2.3446878,"[""BURGER""]","https://www.google.com/maps/place/Hank+Burger+Paris+Cadet/@48.876935,2.3446878,15z/data=!4m6!3m5!1s0x47e66e400d4c8107:0xbe4ecea45c9de48e!8m2!3d48.876935!4d2.3446878!16s%2Fg%2F11ggvwm0y4?entry=ttu",True,4.6,9,True,False,False,False
